Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P13995|MTDC_HUMAN	P13995	MTDC_HUMAN	MTHFD2	350	Homo sapiens OX=9606	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	958809.3	0	958809.3			tr|A0A7I2V2U6|A0A7I2V2U6_HUMAN
sp|P14174|MIF_HUMAN	P14174	MIF_HUMAN	MIF	115	Homo sapiens OX=9606	Macrophage migration inhibitory factor 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	7	7	7	1.0704908E8	1.0704908E8	1.0704908E8	N-term(42.0106),2M(15.9949), N-term(42.0106),2M(15.9949),3C(57.0214)		
sp|P14314|GLU2B_HUMAN	P14314	GLU2B_HUMAN	PRKCSH	528	Homo sapiens OX=9606	Glucosidase 2 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	12	0	12	4.2670792E7	0	4.2670792E7	2M(15.9949),8M(15.9949),6M(15.9949),8M(15.9949),3M(15.9949)		tr|K7ELL7|K7ELL7_HUMAN
sp|P14324|FPPS_HUMAN	P14324	FPPS_HUMAN	FDPS	419	Homo sapiens OX=9606	Farnesyl pyrophosphate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	1.4240856E7	0	1.4240856E7			
sp|P14384|CBPM_HUMAN	P14384	CBPM_HUMAN	CPM	443	Homo sapiens OX=9606	Carboxypeptidase M 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	1970834.2	0	1970834.2			
sp|P14406|CX7A2_HUMAN	P14406	CX7A2_HUMAN	COX7A2	83	Homo sapiens OX=9606	Cytochrome c oxidase subunit 7A2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	4762563.5	0	4762563.5			tr|D6RGV5|D6RGV5_HUMAN, tr|D6RIE3|D6RIE3_HUMAN, tr|H0UI06|H0UI06_HUMAN
sp|P14550|AK1A1_HUMAN	P14550	AK1A1_HUMAN	AKR1A1	325	Homo sapiens OX=9606	Aldo-keto reductase family 1 member A1 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	6	3	6	8958410.0	5087247.5	8958410.0	4C(57.0214), N-term(42.0106),7C(57.0214)		
sp|P14618|KPYM_HUMAN	P14618	KPYM_HUMAN	PKM	531	Homo sapiens OX=9606	Pyruvate kinase PKM 	1:Experimental evidence at protein level	1.0000	0.9990	25	0	25	79	0	79	4.34742272E8	0	4.34742272E8	7C(57.0214),8M(15.9949),1C(57.0214), 2C(57.0214),4C(57.0214),12M(15.9949), 4C(57.0214),4C(57.0214), 8M(15.9949),12M(15.9949), 4C(57.0214), 8M(15.9949),5M(15.9949),1M(15.9949),11M(15.9949), 7C(57.0214),11M(15.9949), 15M(15.9949), 7C(57.0214),6C(57.0214),19M(15.9949), 27M(15.9949), 28C(57.0214),19M(15.9949), 27M(15.9949), 28C(57.0214)		
sp|P14625|ENPL_HUMAN	P14625	ENPL_HUMAN	HSP90B1	803	Homo sapiens OX=9606	Endoplasmin 	1:Experimental evidence at protein level	1.0000	0.9990	19	0	18	51	0	25	5.0234672E7	0	5.0234672E7	4M(15.9949),10M(15.9949),10M(15.9949), 11M(15.9949),12M(15.9949),12M(15.9949)		
sp|P14678|RSMB_HUMAN	P14678	RSMB_HUMAN	SNRPB	240	Homo sapiens OX=9606	Small nuclear ribonucleoprotein-associated proteins B and B' 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	6	0	6	2.3616412E7	0	2.3616412E7	7M(15.9949),7C(57.0214), 9C(57.0214),2M(15.9949), 7C(57.0214), 9C(57.0214),1C(57.0214)		sp|P63162|RSMN_HUMAN, tr|J3QLE5|J3QLE5_HUMAN
sp|P14735|IDE_HUMAN	P14735	IDE_HUMAN	IDE	1019	Homo sapiens OX=9606	Insulin-degrading enzyme 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	2	0	2	1428577.8	0	1428577.8			tr|A0A3B3ISG5|A0A3B3ISG5_HUMAN, tr|A0A7I2V2P6|A0A7I2V2P6_HUMAN, tr|A0A7I2V3E3|A0A7I2V3E3_HUMAN, tr|A0A7I2YQV5|A0A7I2YQV5_HUMAN
sp|P14854|CX6B1_HUMAN	P14854	CX6B1_HUMAN	COX6B1	86	Homo sapiens OX=9606	Cytochrome c oxidase subunit 6B1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|P14866|HNRPL_HUMAN	P14866	HNRPL_HUMAN	HNRNPL	589	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein L 	1:Experimental evidence at protein level	1.0000	0.9990	12	1	12	13	1	13	3.8588032E7	4395037.0	3.8588032E7	10M(15.9949),6C(57.0214),2C(57.0214),17C(57.0214),17C(57.0214), 5M(15.9949),15M(15.9949),15M(15.9949),4C(57.0214),12C(57.0214), 13C(57.0214)		
sp|P14868|SYDC_HUMAN	P14868	SYDC_HUMAN	DARS1	501	Homo sapiens OX=9606	Aspartate--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	15	4	15	15	3	15	1.0148213E7	4722065.0	1.0148213E7	2C(57.0214),6C(57.0214),4C(57.0214),4C(57.0214), 9M(15.9949)		
sp|P14927|QCR7_HUMAN	P14927	QCR7_HUMAN	UQCRB	111	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 7 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	2673451.8	0	2673451.8			
sp|P15121|ALDR_HUMAN	P15121	ALDR_HUMAN	AKR1B1	316	Homo sapiens OX=9606	Aldo-keto reductase family 1 member B1 	1:Experimental evidence at protein level	1.0000	0.9990	10	2	10	12	3	12	2.6194654E7	1.4404524E7	2.6194654E7	2C(57.0214), 7C(57.0214),2C(57.0214), 7C(57.0214),10C(57.0214),10C(57.0214),8C(57.0214)		
sp|P15170|ERF3A_HUMAN	P15170	ERF3A_HUMAN	GSPT1	499	Homo sapiens OX=9606	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	6	0	6	1.3048754E7	0	1.3048754E7	6C(57.0214),7C(57.0214),5M(15.9949), 7C(57.0214),7C(57.0214)		
sp|P15291|B4GT1_HUMAN	P15291	B4GT1_HUMAN	B4GALT1	398	Homo sapiens OX=9606	Beta-1,4-galactosyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	956037.8	956037.8	956037.8			
sp|P15311|EZRI_HUMAN	P15311	EZRI_HUMAN	EZR	586	Homo sapiens OX=9606	Ezrin 	1:Experimental evidence at protein level	1.0000	0.9990	16	0	7	19	0	8	7.595024E7	0	3.8912452E7			tr|E7EQR4|E7EQR4_HUMAN
sp|P15328|FOLR1_HUMAN	P15328	FOLR1_HUMAN	FOLR1	257	Homo sapiens OX=9606	Folate receptor alpha 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	3.7995548E7	3.7995548E7	3.7995548E7	7C(57.0214),7C(57.0214), 8M(15.9949),13C(57.0214), 6C(57.0214),7C(57.0214)		
sp|P15374|UCHL3_HUMAN	P15374	UCHL3_HUMAN	UCHL3	230	Homo sapiens OX=9606	Ubiquitin carboxyl-terminal hydrolase isozyme L3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1798112.4	0	1798112.4	7C(57.0214)		
sp|P15531|NDKA_HUMAN	P15531	NDKA_HUMAN	NME1	152	Homo sapiens OX=9606	Nucleoside diphosphate kinase A 	1:Experimental evidence at protein level	1.0000	0.9990	8	1	1	18	2	2	2.006232E8	2.6610908E7	2.6610908E7			
sp|P15559|NQO1_HUMAN	P15559	NQO1_HUMAN	NQO1	274	Homo sapiens OX=9606	NAD(P)H dehydrogenase [quinone] 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	4	0	4	1.5870626E7	0	1.5870626E7			tr|B4DLR8|B4DLR8_HUMAN
sp|P15586|GNS_HUMAN	P15586	GNS_HUMAN	GNS	552	Homo sapiens OX=9606	N-acetylglucosamine-6-sulfatase 	1:Experimental evidence at protein level	1.0000	0.9989	2	0	2	2	0	2	2362929.0	0	2362929.0			tr|F6S8M0|F6S8M0_HUMAN, tr|H7C3P4|H7C3P4_HUMAN
sp|P15880|RS2_HUMAN	P15880	RS2_HUMAN	RPS2	293	Homo sapiens OX=9606	40S ribosomal protein S2 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	18	0	18	9.4294584E7	0	9.4294584E7	10C(57.0214),10C(57.0214), 3M(15.9949),10C(57.0214), 3M(15.9949), 4M(15.9949),2C(57.0214),1C(57.0214)		
sp|P15927|RFA2_HUMAN	P15927	RFA2_HUMAN	RPA2	270	Homo sapiens OX=9606	Replication protein A 32 kDa subunit 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1526398.5	0	1526398.5	2C(57.0214)		
sp|P16070|CD44_HUMAN	P16070	CD44_HUMAN	CD44	742	Homo sapiens OX=9606	CD44 antigen 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	3	0	3	1.5345491E7	0	1.5345491E7	9C(57.0214)		tr|H0YD13|H0YD13_HUMAN
sp|P16083|NQO2_HUMAN	P16083	NQO2_HUMAN	NQO2	231	Homo sapiens OX=9606	Ribosyldihydronicotinamide dehydrogenase [quinone] 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	7737268.5	0	7737268.5			tr|Q5TD07|Q5TD07_HUMAN
sp|P16152|CBR1_HUMAN	P16152	CBR1_HUMAN	CBR1	277	Homo sapiens OX=9606	Carbonyl reductase [NADPH] 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	2	10	9	3	9	1.5368229E7	9180008.0	1.5368229E7	3C(57.0214),2C(57.0214),N-term(42.0106),8M(15.9949)		
sp|P16278|BGAL_HUMAN	P16278	BGAL_HUMAN	GLB1	677	Homo sapiens OX=9606	Beta-galactosidase 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	4	0	4	2409030.0	0	2409030.0	10C(57.0214)		
sp|P16401|H15_HUMAN	P16401	H15_HUMAN	H1-5	226	Homo sapiens OX=9606	Histone H1.5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	4.657258E7	4.657258E7	4.657258E7			
sp|P16403|H12_HUMAN	P16403	H12_HUMAN	H1-2	213	Homo sapiens OX=9606	Histone H1.2 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	1	10	3	3	7.0377222E8	1.61755072E8	1.61755072E8	N-term(42.0106)		
sp|P16435|NCPR_HUMAN	P16435	NCPR_HUMAN	POR	677	Homo sapiens OX=9606	NADPH--cytochrome P450 reductase 	1:Experimental evidence at protein level	1.0000	0.9990	8	1	8	5	1	5	1.2371351E7	1609007.0	1.2371351E7	11C(57.0214)		
sp|P16455|MGMT_HUMAN	P16455	MGMT_HUMAN	MGMT	207	Homo sapiens OX=9606	Methylated-DNA--protein-cysteine methyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	594341.06	0	594341.06	3C(57.0214)		tr|B4DEE8|B4DEE8_HUMAN
sp|P16615|AT2A2_HUMAN	P16615	AT2A2_HUMAN	ATP2A2	1042	Homo sapiens OX=9606	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	9	0	9	1.2162033E7	0	1.2162033E7	2M(15.9949),11C(57.0214),10C(57.0214), 15C(57.0214),3C(57.0214),7M(15.9949),1C(57.0214)		
sp|P16949|STMN1_HUMAN	P16949	STMN1_HUMAN	STMN1	149	Homo sapiens OX=9606	Stathmin 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	8	1	8	3.70356E7	1.2867019E7	3.70356E7	N-term(42.0106)		
sp|P16989|YBOX3_HUMAN	P16989	YBOX3_HUMAN	YBX3	372	Homo sapiens OX=9606	Y-box-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	2	5	1	2	3.8080956E7	3975868.8	6605708.0			
sp|P17096|HMGA1_HUMAN	P17096	HMGA1_HUMAN	HMGA1	107	Homo sapiens OX=9606	High mobility group protein HMG-I/HMG-Y 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	1.9976292E7	1.9976292E7	1.9976292E7			
sp|P17174|AATC_HUMAN	P17174	AATC_HUMAN	GOT1	413	Homo sapiens OX=9606	Aspartate aminotransferase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	8	8	8	8629376.0	8629376.0	8629376.0			
sp|P17301|ITA2_HUMAN	P17301	ITA2_HUMAN	ITGA2	1181	Homo sapiens OX=9606	Integrin alpha-2 	1:Experimental evidence at protein level	1.0000	0.9988	3	0	3	2	0	2	4532724.5	0	4532724.5			tr|E7EMF1|E7EMF1_HUMAN, tr|E7ESP4|E7ESP4_HUMAN
sp|P17480|UBF1_HUMAN	P17480	UBF1_HUMAN	UBTF	764	Homo sapiens OX=9606	Nucleolar transcription factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	2042487.0	0	2042487.0			tr|E9PKP7|E9PKP7_HUMAN
sp|P17655|CAN2_HUMAN	P17655	CAN2_HUMAN	CAPN2	700	Homo sapiens OX=9606	Calpain-2 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	7	7	7	7789129.5	7789129.5	7789129.5	6C(57.0214),3C(57.0214)		
sp|P17812|PYRG1_HUMAN	P17812	PYRG1_HUMAN	CTPS1	591	Homo sapiens OX=9606	CTP synthase 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	8	0	8	1.0412339E7	0	1.0412339E7	11C(57.0214),4C(57.0214),1C(57.0214)		
sp|P17844|DDX5_HUMAN	P17844	DDX5_HUMAN	DDX5	614	Homo sapiens OX=9606	Probable ATP-dependent RNA helicase DDX5 	1:Experimental evidence at protein level	1.0000	0.9990	19	0	11	23	0	13	4.2821404E7	0	1.7451102E7	14C(57.0214),14C(57.0214),7C(57.0214)		
sp|P17858|PFKAL_HUMAN	P17858	PFKAL_HUMAN	PFKL	780	Homo sapiens OX=9606	ATP-dependent 6-phosphofructokinase, liver type 	1:Experimental evidence at protein level	1.0000	0.9990	8	5	5	10	4	4	4.818938E7	9117691.0	9117691.0	2M(15.9949),10C(57.0214)		
sp|P17931|LEG3_HUMAN	P17931	LEG3_HUMAN	LGALS3	250	Homo sapiens OX=9606	Galectin-3 	1:Experimental evidence at protein level	1.0000	0.9990	8	2	8	11	3	11	6.2667856E7	4.3174792E7	6.2667856E7	4C(57.0214),1M(15.9949),1M(15.9949)		
sp|P17980|PRS6A_HUMAN	P17980	PRS6A_HUMAN	PSMC3	439	Homo sapiens OX=9606	26S proteasome regulatory subunit 6A 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	10	0	10	1.0510196E7	0	1.0510196E7	3C(57.0214),3C(57.0214), 8M(15.9949),2M(15.9949)		tr|E9PM69|E9PM69_HUMAN, tr|R4GNH3|R4GNH3_HUMAN
sp|P17987|TCPA_HUMAN	P17987	TCPA_HUMAN	TCP1	556	Homo sapiens OX=9606	T-complex protein 1 subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	17	0	17	18	0	18	2.4569734E7	0	2.4569734E7	7C(57.0214),7C(57.0214),5M(15.9949),2C(57.0214),2C(57.0214),8M(15.9949),3C(57.0214)		
sp|P18031|PTN1_HUMAN	P18031	PTN1_HUMAN	PTPN1	435	Homo sapiens OX=9606	Tyrosine-protein phosphatase non-receptor type 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	4971947.5	0	4971947.5			
sp|P18077|RL35A_HUMAN	P18077	RL35A_HUMAN	RPL35A	110	Homo sapiens OX=9606	60S ribosomal protein L35a 	1:Experimental evidence at protein level	1.0000	0.9986	4	1	4	7	2	7	7.2385376E7	2.4967246E7	7.2385376E7	2M(15.9949)		
sp|P18085|ARF4_HUMAN	P18085	ARF4_HUMAN	ARF4	180	Homo sapiens OX=9606	ADP-ribosylation factor 4 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	7	0	7	3.1141848E7	0	3.1141848E7	1M(15.9949),3M(15.9949)		
sp|P18124|RL7_HUMAN	P18124	RL7_HUMAN	RPL7	248	Homo sapiens OX=9606	60S ribosomal protein L7 	1:Experimental evidence at protein level	1.0000	0.9990	11	2	11	12	2	12	8.2001312E7	2.688308E7	8.2001312E7	5M(15.9949)		
sp|P18206|VINC_HUMAN	P18206	VINC_HUMAN	VCL	1134	Homo sapiens OX=9606	Vinculin 	1:Experimental evidence at protein level	1.0000	0.9990	23	23	23	22	22	22	7.2067072E7	7.2067072E7	7.2067072E7	7C(57.0214),10M(15.9949),5M(15.9949),14M(15.9949),7M(15.9949)		
sp|P18583|SON_HUMAN	P18583	SON_HUMAN	SON	2426	Homo sapiens OX=9606	Protein SON 	1:Experimental evidence at protein level	1.0000	0.9988	3	0	3	3	0	3	1893559.5	0	1893559.5	N-term(42.0106)		
sp|P18621|RL17_HUMAN	P18621	RL17_HUMAN	RPL17	184	Homo sapiens OX=9606	60S ribosomal protein L17 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	13	0	13	7.7526936E7	0	7.7526936E7	13M(15.9949), 5M(15.9949), 9C(57.0214),8M(15.9949),8M(15.9949)		tr|A0A087WXM6|A0A087WXM6_HUMAN, tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN, tr|J3KRX5|J3KRX5_HUMAN, tr|J3QQT2|J3QQT2_HUMAN
sp|P18669|PGAM1_HUMAN	P18669	PGAM1_HUMAN	PGAM1	254	Homo sapiens OX=9606	Phosphoglycerate mutase 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	11	0	11	6.2569136E7	0	6.2569136E7	2M(15.9949),2M(15.9949),9M(15.9949)		
sp|P18754|RCC1_HUMAN	P18754	RCC1_HUMAN	RCC1	421	Homo sapiens OX=9606	Regulator of chromosome condensation 	1:Experimental evidence at protein level	1.0000	0.9990	7	2	7	7	2	7	1.2824436E7	2968480.0	1.2824436E7	12M(15.9949),2M(15.9949),9C(57.0214),9C(57.0214)		
sp|P18858|DNLI1_HUMAN	P18858	DNLI1_HUMAN	LIG1	919	Homo sapiens OX=9606	DNA ligase 1 	1:Experimental evidence at protein level	1.0000	0.9989	2	0	2	1	0	1	1192928.9	0	1192928.9			tr|F5GZ28|F5GZ28_HUMAN, tr|M0R0Q7|M0R0Q7_HUMAN
sp|P18859|ATP5J_HUMAN	P18859	ATP5J_HUMAN	ATP5PF	108	Homo sapiens OX=9606	ATP synthase-coupling factor 6, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	3914959.5	0	3914959.5	2M(15.9949), 8M(15.9949),8M(15.9949)		tr|A8MUH2|A8MUH2_HUMAN
sp|P19338|NUCL_HUMAN	P19338	NUCL_HUMAN	NCL	710	Homo sapiens OX=9606	Nucleolin 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	16	0	16	8.4967712E7	0	8.4967712E7			tr|A0A7I2V3F3|A0A7I2V3F3_HUMAN, tr|A0A7I2V428|A0A7I2V428_HUMAN, tr|C9JLB1|C9JLB1_HUMAN
sp|P19388|RPAB1_HUMAN	P19388	RPAB1_HUMAN	POLR2E	210	Homo sapiens OX=9606	DNA-directed RNA polymerases I, II, and III subunit RPABC1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	0	0	0	9M(15.9949)		tr|A0A087WVZ9|A0A087WVZ9_HUMAN, tr|A0A087WWX0|A0A087WWX0_HUMAN, tr|A0A0A0MQR7|A0A0A0MQR7_HUMAN
sp|P19404|NDUV2_HUMAN	P19404	NDUV2_HUMAN	NDUFV2	249	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1633264.4	0	1633264.4			tr|E7EPT4|E7EPT4_HUMAN
sp|P19525|E2AK2_HUMAN	P19525	E2AK2_HUMAN	EIF2AK2	551	Homo sapiens OX=9606	Interferon-induced, double-stranded RNA-activated protein kinase 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	2068814.2	0	2068814.2			tr|A0A7P0TBA9|A0A7P0TBA9_HUMAN
sp|P19623|SPEE_HUMAN	P19623	SPEE_HUMAN	SRM	302	Homo sapiens OX=9606	Spermidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	5	0	5	7763984.5	0	7763984.5	5M(15.9949)		
sp|P19784|CSK22_HUMAN	P19784	CSK22_HUMAN	CSNK2A2	350	Homo sapiens OX=9606	Casein kinase II subunit alpha' 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	506291.16	0	506291.16			tr|H3BNI9|H3BNI9_HUMAN
sp|P19823|ITIH2_HUMAN	P19823	ITIH2_HUMAN	ITIH2	946	Homo sapiens OX=9606	Inter-alpha-trypsin inhibitor heavy chain H2 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	8	0	8	4.0570472E7	0	4.0570472E7			tr|Q5T985|Q5T985_HUMAN
sp|P19827|ITIH1_HUMAN	P19827	ITIH1_HUMAN	ITIH1	911	Homo sapiens OX=9606	Inter-alpha-trypsin inhibitor heavy chain H1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	0	0	0			
sp|P20042|IF2B_HUMAN	P20042	IF2B_HUMAN	EIF2S2	333	Homo sapiens OX=9606	Eukaryotic translation initiation factor 2 subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	5	5	5	1.3769833E7	1.3769833E7	1.3769833E7	10C(57.0214),6C(57.0214), 9C(57.0214),1C(57.0214),5C(57.0214), 8C(57.0214)		
sp|P20073|ANXA7_HUMAN	P20073	ANXA7_HUMAN	ANXA7	488	Homo sapiens OX=9606	Annexin A7 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	1.1097413E7	1.1097413E7	1.1097413E7	5C(57.0214),10M(15.9949), 7C(57.0214),7C(57.0214)		
sp|P20290|BTF3_HUMAN	P20290	BTF3_HUMAN	BTF3	206	Homo sapiens OX=9606	Transcription factor BTF3 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	4376233.0	0	4376233.0			tr|A0A7I2V3T6|A0A7I2V3T6_HUMAN, tr|A0A7I2YQL2|A0A7I2YQL2_HUMAN, tr|D6RDG3|D6RDG3_HUMAN
sp|P20339|RAB5A_HUMAN	P20339	RAB5A_HUMAN	RAB5A	215	Homo sapiens OX=9606	Ras-related protein Rab-5A 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	2	4	2	2	1.0994911E7	2995375.2	2995375.2			
sp|P20340|RAB6A_HUMAN	P20340	RAB6A_HUMAN	RAB6A	208	Homo sapiens OX=9606	Ras-related protein Rab-6A 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1922469.4	0	1922469.4			
sp|P20618|PSB1_HUMAN	P20618	PSB1_HUMAN	PSMB1	241	Homo sapiens OX=9606	Proteasome subunit beta type-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	2.238279E7	2.238279E7	2.238279E7	8M(15.9949),2M(15.9949),12C(57.0214), 5C(57.0214),12C(57.0214), 5C(57.0214)		
sp|P20645|MPRD_HUMAN	P20645	MPRD_HUMAN	M6PR	277	Homo sapiens OX=9606	Cation-dependent mannose-6-phosphate receptor 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1699473.4	0	1699473.4			
sp|P20674|COX5A_HUMAN	P20674	COX5A_HUMAN	COX5A	150	Homo sapiens OX=9606	Cytochrome c oxidase subunit 5A, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	5	0	5	3.0661752E7	0	3.0661752E7	10M(15.9949)		tr|H3BNX8|H3BNX8_HUMAN, tr|H3BV69|H3BV69_HUMAN
sp|P20700|LMNB1_HUMAN	P20700	LMNB1_HUMAN	LMNB1	586	Homo sapiens OX=9606	Lamin-B1 	1:Experimental evidence at protein level	1.0000	0.9990	16	1	16	15	1	15	2.3463592E7	0	2.3463592E7	5M(15.9949),1C(57.0214),1C(57.0214)		
sp|P20810|ICAL_HUMAN	P20810	ICAL_HUMAN	CAST	708	Homo sapiens OX=9606	Calpastatin 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	5	0	5	7476380.0	0	7476380.0	6M(15.9949),6M(15.9949),4C(57.0214),3M(15.9949), 4C(57.0214)		tr|A0A0C4DGB5|A0A0C4DGB5_HUMAN, tr|A0A6Q8PFE5|A0A6Q8PFE5_HUMAN, tr|A0A6Q8PG72|A0A6Q8PG72_HUMAN, tr|A0A6Q8PGG5|A0A6Q8PGG5_HUMAN, tr|A0A6Q8PGN6|A0A6Q8PGN6_HUMAN, tr|A0A6Q8PH20|A0A6Q8PH20_HUMAN, tr|B7Z574|B7Z574_HUMAN, tr|E7EVY3|E7EVY3_HUMAN, tr|E9PCH5|E9PCH5_HUMAN
sp|P20962|PTMS_HUMAN	P20962	PTMS_HUMAN	PTMS	102	Homo sapiens OX=9606	Parathymosin 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	2.2584934E7	0	2.2584934E7			
sp|P21127|CD11B_HUMAN	P21127	CD11B_HUMAN	CDK11B	795	Homo sapiens OX=9606	Cyclin-dependent kinase 11B 	1:Experimental evidence at protein level	1.0000	0.9987	2	0	2	2	0	2	895605.56	0	895605.56			sp|Q9UQ88|CD11A_HUMAN, tr|A0A0D9SEI3|A0A0D9SEI3_HUMAN, tr|A0A0D9SEN2|A0A0D9SEN2_HUMAN, tr|A0A0D9SER5|A0A0D9SER5_HUMAN, tr|Q5QPR3|Q5QPR3_HUMAN, tr|Q5QPR4|Q5QPR4_HUMAN
sp|P21266|GSTM3_HUMAN	P21266	GSTM3_HUMAN	GSTM3	225	Homo sapiens OX=9606	Glutathione S-transferase Mu 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	5	1	5	1.3347822E7	5047256.5	1.3347822E7	1C(57.0214),11C(57.0214)		
sp|P21281|VATB2_HUMAN	P21281	VATB2_HUMAN	ATP6V1B2	511	Homo sapiens OX=9606	V-type proton ATPase subunit B, brain isoform 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	5	0	5	3256560.8	0	3256560.8	3C(57.0214)		
sp|P21291|CSRP1_HUMAN	P21291	CSRP1_HUMAN	CSRP1	193	Homo sapiens OX=9606	Cysteine and glycine-rich protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	10	0	10	3.3437788E7	0	3.3437788E7	1C(57.0214),16C(57.0214),16C(57.0214),2C(57.0214), 5C(57.0214), 8C(57.0214),2C(57.0214), 5C(57.0214), 6M(15.9949), 8C(57.0214),10C(57.0214)		
